,제목,언론사,내용,작성시간,링크
0,"채널톡, 생성 AI 챗봇 '알프' 출시...""CS 단순문의 55% 해결""",AI타임스,"인공지능(AI) 메신저 '채널톡' 운영사 채널코퍼레이션(대표 최시원, 김재홍)은 서울 그랜드 인터컨티넨탈에서 채널콘 컨퍼런스를 개최하고 CS 단순...",1일 전,https://www.aitimes.com/news/articleView.html?idxno=158497
1,"채널톡, 단순·반복 문의 답하는 ‘AI 챗봇’ 상반기 출시 - 조선비즈",Chosunbiz,비즈니스 전용 메신저 '채널톡'을 운영하는 정보기술(IT) 스타트업 채널코퍼레이션이 올 상반기 생성형 인공지능(AI) 챗봇을 출시한다.,1일 전,https://biz.chosun.com/industry/company/2024/04/03/XU3SE3JDLJC6HPS62EYWJ7Z5IQ/
2,"서울 공무원 적응 돕는 'AI 챗봇' 나온다…""2026년까지 2064억 투입""(종합)",뉴스1,(서울=뉴스1) 오현주 기자 | 서울시가 2026년까지 2064억원을 투입해 행정 업무에 인공지능(AI)을 도입한다. 자체 sLLM(소형 언어모델)을 구축해...,2일 전,https://www.news1.kr/articles/?5371454
3,"구글, 검색 유료화 '만지작'… 판도 흔드나",매일경제,"챗GPT에 검색광고 위협받자구글 ""AI검색은 돈 내라"" 검토'검색결과 광고 노출' 모델 위기""로그인 없이 챗GPT 사용""오픈AI 등 'AI챗봇 검색' 부상.",18시간 전,https://www.mk.co.kr/news/it/10982791
4,기업용 챗GPT 가입자 석 달 만에 4배 급증,뉴스핌,[뉴욕=뉴스핌] 김민정 특파원 = 오픈AI의 기업용 챗GPT 가입자가 연초 급증한 것으로 나타났다. 기업들의 인공지능(AI) 채택에 그만큼 속도가 붙고...,9시간 전,https://www.newspim.com/news/view/20240404001201
5,"마이크로소프트, 엑스박스 애니메이션 AI 챗봇 개발",더구루,[더구루=홍성일 기자] 마이크로소프트(MS)가 엑스박스(Xbox)에 애니메이션 인공지능(AI) 챗봇을 적용하기 위해 개발을 진행 중이다.,1일 전,https://theguru.co.kr/news/article.html?no=68987
6,"세종시, 전자증명-AI챗봇으로 ‘민원혁신’",동아일보,세종시가 공무원이 디지털로 증명서를 직접 확인해 민원인이 제출하는 증명서를 없애는 제도를 시행하겠다고 2일 밝혔다. 시는 최근 행정안전부와...,2일 전,https://www.donga.com/news/Society/article/all/20240402/124288744/1
7,'AI 행정혁신'에 2000억 쏟아붓는 서울시..인공지능 챗봇·CCTV 나온다,머니투데이,서울시가 인공지능(AI)을 접목한 행정혁신에 2000억원을 투입해 시민 편의와 공무원 업무 효율을 동시에 높인다. 지방자치단체 차원에선 최초로 'AI...,2일 전,https://news.mt.co.kr/mtview.php?no=2024040218241383839&VN
8,"챗GPT에 235조 검색광고 날아갈 판…구글 ""AI 검색 돈 내야"" [팩플]",MSN,구글이 생성 인공지능(AI) 기반 유료 검색 서비스 출시를 검토 중인 것으로 알려졌다. 구글에서 AI 유료 검색 서비스가 나온다면 자사 핵심 사업인 검색 엔진을 유료화...,3시간 전,https://www.msn.com/ko-kr/money/topstories/%EC%B1%97gpt%EC%97%90-235%EC%A1%B0-%EA%B2%80%EC%83%89%EA%B4%91%EA%B3%A0-%EB%82%A0%EC%95%84%EA%B0%88-%ED%8C%90-%EA%B5%AC%EA%B8%80-ai-%EA%B2%80%EC%83%89-%EB%8F%88-%EB%82%B4%EC%95%BC-%ED%8C%A9%ED%94%8C/ar-BB1l5HIP
9,"'AI 상담센터'에 '생성형 AI 챗봇'…서울시, 'AI 행정' 가속화",뉴시스,행정에 인공지능 접목시켜 시민 편의 높여 AI 기술 활용한 시민 맞춤형 서비스 등 확대 지자체 첫 AI 활성화 전략…3년간 2064억 투입.,3일 전,https://mobile.newsis.com/view.html?ar_id=NISX20240402_0002684333
